date,average,max,sum
2020-11-12,3345.0,3943,80280
2020-11-13,3124.25,3552,74982
2020-11-14,2773.7916666666665,3149,66571
2020-11-15,2659.5833333333335,3119,63830
2020-11-16,3007.6666666666665,3524,72184
2020-11-17,3046.75,3540,73122
2020-11-18,3044.6666666666665,3495,73072
2020-11-19,2985.5416666666665,3468,71653
2020-11-20,2956.9166666666665,3444,70966
2020-11-21,2639.9583333333335,3033,63359
2020-11-22,2579.6666666666665,2994,61912
2020-11-23,2678.25,3182,64278
2020-11-24,3146.2083333333335,3796,75509
2020-11-25,3278.8333333333335,3850,78692
2020-11-26,3143.875,3641,75453
2020-11-27,3230.875,3847,77541
2020-11-28,2914.375,3431,69945
2020-11-29,2890.9583333333335,3458,69383
2020-11-30,3306.8333333333335,3879,79364
2020-12-01,3391.7083333333335,3923,81401
2020-12-02,3602.375,4292,86457
2020-12-03,3591.7083333333335,4231,86201
2020-12-04,3513.6666666666665,4058,84328
2020-12-05,3413.1666666666665,3928,81916
2020-12-06,3098.5416666666665,3624,74365
2020-12-07,3463.0833333333335,4075,83114
2020-12-08,3449.375,3966,82785
2020-12-09,3559.25,4193,85422
2020-12-10,3593.2083333333335,4263,86237
2020-12-11,3546.625,4132,85119
2020-12-12,3156.4166666666665,3555,75754
2020-12-13,3008.2916666666665,3552,72199
2020-12-14,3605.6666666666665,4356,86536
2020-12-15,3825.5833333333335,4463,91814
2020-12-16,3961.5416666666665,4618,95077
2020-12-17,4075.25,4722,97806
2020-12-18,3978.0833333333335,4607,95474
2020-12-19,3653.625,4201,87687
2020-12-20,3542.2916666666665,4225,85015
2020-12-21,3987.625,4637,95703
2020-12-22,4001.0,4707,96024
2020-12-23,3843.5,4487,92244
2020-12-24,3805.25,4407,91326
2020-12-25,3585.5,4089,86052
2020-12-26,3382.7083333333335,3851,81185
2020-12-27,3165.125,3651,75963
2020-12-28,3292.25,3912,79014
2020-12-29,3152.125,3568,75651
2020-12-30,3036.875,3566,72885
2020-12-31,3169.375,3792,76065
